unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1.65462E+12,07/06/2022 16:00,BTC/GBP,23754.54,23785.23,23634.48,23755.19,28.43483,674666.6742,906
1.65461E+12,07/06/2022 15:00,BTC/GBP,23779.66,23862.35,23685.9,23753.97,27.31431,648765.2795,908
1.65461E+12,07/06/2022 14:00,BTC/GBP,23603.81,23891.75,23565.63,23769.4,35.8469,850912.3627,1070
1.65461E+12,07/06/2022 13:00,BTC/GBP,23611.78,23716.68,23560.92,23598.45,50.30059,1189288.035,1335
1.6546E+12,07/06/2022 12:00,BTC/GBP,23631.94,23639.71,23520.78,23611.78,36.33568,857111.302,928
1.6546E+12,07/06/2022 11:00,BTC/GBP,23655.95,23677.44,23499,23633.23,28.07664,662629.8341,978
1.6546E+12,07/06/2022 10:00,BTC/GBP,23641.54,23699.32,23595.26,23664.89,20.91857,494615.0611,583
1.65459E+12,07/06/2022 09:00,BTC/GBP,23726.3,23738.9,23623.72,23640.12,17.34206,410339.3048,656
1.65459E+12,07/06/2022 08:00,BTC/GBP,23710.27,23762.91,23635.01,23731.23,36.66063,868242.9498,1144
1.65459E+12,07/06/2022 07:00,BTC/GBP,23675.73,23719.19,23644.79,23707.9,24.93929,590439.4482,795
1.65458E+12,07/06/2022 06:00,BTC/GBP,23665.3,23726.56,23650.02,23673.11,35.88123,849926.5141,1048
1.65458E+12,07/06/2022 05:00,BTC/GBP,23633.8,23770.07,23586.61,23665.69,35.79875,847137.1612,945
1.65457E+12,07/06/2022 04:00,BTC/GBP,23632.3,23675.54,23562.44,23633.82,28.58168,674955.8599,808
1.65457E+12,07/06/2022 03:00,BTC/GBP,23513.69,23719.99,23477.35,23648.23,23.60524,557408.7722,814
1.65457E+12,07/06/2022 02:00,BTC/GBP,23629.66,23631.41,23379.71,23511.23,35.92289,843920.5785,1072
1.65456E+12,07/06/2022 01:00,BTC/GBP,24089.07,24178.46,23496.29,23649.36,37.02826,883818.2799,1121
1.65456E+12,07/06/2022 00:00,BTC/GBP,25044.33,25046.07,24074.58,24116.14,51.5342,1257999.261,1648
1.65456E+12,06/06/2022 23:00,BTC/GBP,25040.31,25085.6,24991.04,25046.07,12.01527,300682.7311,414
1.65455E+12,06/06/2022 22:00,BTC/GBP,25123.65,25169.24,25043.8,25064.85,5.39329,135392.1501,395
1.65455E+12,06/06/2022 21:00,BTC/GBP,25085.24,25216.09,25072.2,25134.56,7.71073,193833.7511,462
1.65455E+12,06/06/2022 20:00,BTC/GBP,25085.05,25153.82,24952.84,25085.36,12.28236,307888.9231,622
